product_id,warehouse_id,snapshot_date,stock_on_hand,reorder_point,safety_stock
Widget-01,LA-West,2025-01-01,549,164,109
Widget-01,LA-West,2025-01-02,549,164,109
Widget-01,LA-West,2025-01-03,562,164,109
Widget-01,LA-West,2025-01-04,541,164,109
Widget-01,LA-West,2025-01-05,549,164,109
Widget-01,LA-West,2025-01-06,531,164,109
Widget-01,LA-West,2025-01-07,531,164,109
Widget-01,LA-West,2025-01-08,507,164,109
Widget-01,LA-West,2025-01-09,532,164,109
Widget-01,LA-West,2025-01-10,550,164,109
Widget-01,LA-West,2025-01-11,561,164,109
Widget-01,LA-West,2025-01-12,572,164,109
Widget-01,LA-West,2025-01-13,597,164,109
Widget-01,LA-West,2025-01-14,602,164,109
Widget-01,LA-West,2025-01-15,591,164,109
Widget-01,LA-West,2025-01-16,564,164,109
Widget-01,LA-West,2025-01-17,587,164,109
Widget-01,LA-West,2025-01-18,563,164,109
Widget-01,LA-West,2025-01-19,586,164,109
Widget-01,LA-West,2025-01-20,556,164,109
Widget-01,LA-West,2025-01-21,569,164,109
Widget-01,LA-West,2025-01-22,594,164,109
Widget-01,LA-West,2025-01-23,608,164,109
Widget-01,LA-West,2025-01-24,619,164,109
Widget-01,LA-West,2025-01-25,635,164,109
Widget-01,LA-West,2025-01-26,663,164,109
Widget-01,LA-West,2025-01-27,645,164,109
Widget-01,LA-West,2025-01-28,669,164,109
Widget-01,LA-West,2025-01-29,660,164,109
Widget-01,LA-West,2025-01-30,683,164,109
Widget-01,LA-West,2025-01-31,673,164,109
Widget-01,LA-West,2025-02-01,664,164,109
Widget-01,LA-West,2025-02-02,661,164,109
Widget-01,LA-West,2025-02-03,639,164,109
Widget-01,LA-West,2025-02-04,634,164,109
Widget-01,LA-West,2025-02-05,612,164,109
Widget-01,LA-West,2025-02-06,596,164,109
Widget-01,LA-West,2025-02-07,575,164,109
Widget-01,LA-West,2025-02-08,568,164,109
Widget-01,LA-West,2025-02-09,595,164,109
Widget-01,LA-West,2025-02-10,621,164,109
Widget-01,LA-West,2025-02-11,632,164,109
Widget-01,LA-West,2025-02-12,609,164,109
Widget-01,LA-West,2025-02-13,602,164,109
Widget-01,LA-West,2025-02-14,587,164,109
Widget-01,LA-West,2025-02-15,605,164,109
Widget-01,LA-West,2025-02-16,600,164,109
Widget-01,LA-West,2025-02-17,596,164,109
Widget-01,LA-West,2025-02-18,602,164,109
Widget-01,LA-West,2025-02-19,575,164,109
Widget-01,LA-West,2025-02-20,594,164,109
Widget-01,LA-West,2025-02-21,587,164,109
Widget-01,LA-West,2025-02-22,575,164,109
Widget-01,LA-West,2025-02-23,580,164,109
Widget-01,LA-West,2025-02-24,609,164,109
Widget-01,LA-West,2025-02-25,617,164,109
Widget-01,LA-West,2025-02-26,596,164,109
Widget-01,LA-West,2025-02-27,590,164,109
Widget-01,LA-West,2025-02-28,577,164,109
Widget-01,LA-West,2025-03-01,565,164,109
Widget-01,LA-West,2025-03-02,570,164,109
Widget-01,LA-West,2025-03-03,549,164,109
Widget-01,LA-West,2025-03-04,551,164,109
Widget-01,LA-West,2025-03-05,575,164,109
Widget-01,LA-West,2025-03-06,594,164,109
Widget-01,LA-West,2025-03-07,568,164,109
Widget-01,LA-West,2025-03-08,584,164,109
Widget-01,LA-West,2025-03-09,602,164,109
Widget-01,LA-West,2025-03-10,606,164,109
Widget-01,LA-West,2025-03-11,619,164,109
Widget-01,LA-West,2025-03-12,622,164,109
Widget-01,LA-West,2025-03-13,624,164,109
Widget-01,LA-West,2025-03-14,648,164,109
Widget-01,LA-West,2025-03-15,638,164,109
Widget-01,LA-West,2025-03-16,624,164,109
Widget-01,LA-West,2025-03-17,615,164,109
Widget-01,LA-West,2025-03-18,632,164,109
Widget-01,LA-West,2025-03-19,638,164,109
Widget-01,LA-West,2025-03-20,622,164,109
Widget-01,LA-West,2025-03-21,626,164,109
Widget-01,LA-West,2025-03-22,623,164,109
Widget-01,LA-West,2025-03-23,599,164,109
Widget-01,LA-West,2025-03-24,600,164,109
Widget-01,LA-West,2025-03-25,580,164,109
Widget-01,LA-West,2025-03-26,559,164,109
Widget-01,LA-West,2025-03-27,537,164,109
Widget-01,LA-West,2025-03-28,520,164,109
Widget-01,LA-West,2025-03-29,502,164,109
Widget-01,LA-West,2025-03-30,528,164,109
Widget-01,LA-West,2025-03-31,522,164,109
Widget-01,LA-East,2025-01-01,504,164,109
Widget-01,LA-East,2025-01-02,480,164,109
Widget-01,LA-East,2025-01-03,470,164,109
Widget-01,LA-East,2025-01-04,457,164,109
Widget-01,LA-East,2025-01-05,429,164,109
Widget-01,LA-East,2025-01-06,440,164,109
Widget-01,LA-East,2025-01-07,463,164,109
Widget-01,LA-East,2025-01-08,471,164,109
Widget-01,LA-East,2025-01-09,481,164,109
Widget-01,LA-East,2025-01-10,499,164,109
Widget-01,LA-East,2025-01-11,479,164,109
Widget-01,LA-East,2025-01-12,487,164,109
Widget-01,LA-East,2025-01-13,480,164,109
Widget-01,LA-East,2025-01-14,509,164,109
Widget-01,LA-East,2025-01-15,524,164,109
Widget-01,LA-East,2025-01-16,512,164,109
Widget-01,LA-East,2025-01-17,485,164,109
Widget-01,LA-East,2025-01-18,480,164,109
Widget-01,LA-East,2025-01-19,487,164,109
Widget-01,LA-East,2025-01-20,498,164,109
Widget-01,LA-East,2025-01-21,499,164,109
Widget-01,LA-East,2025-01-22,507,164,109
Widget-01,LA-East,2025-01-23,521,164,109
Widget-01,LA-East,2025-01-24,536,164,109
Widget-01,LA-East,2025-01-25,541,164,109
Widget-01,LA-East,2025-01-26,550,164,109
Widget-01,LA-East,2025-01-27,556,164,109
Widget-01,LA-East,2025-01-28,558,164,109
Widget-01,LA-East,2025-01-29,563,164,109
Widget-01,LA-East,2025-01-30,535,164,109
Widget-01,LA-East,2025-01-31,513,164,109
Widget-01,LA-East,2025-02-01,490,164,109
Widget-01,LA-East,2025-02-02,492,164,109
Widget-01,LA-East,2025-02-03,520,164,109
Widget-01,LA-East,2025-02-04,495,164,109
Widget-01,LA-East,2025-02-05,505,164,109
Widget-01,LA-East,2025-02-06,513,164,109
Widget-01,LA-East,2025-02-07,486,164,109
Widget-01,LA-East,2025-02-08,468,164,109
Widget-01,LA-East,2025-02-09,486,164,109
Widget-01,LA-East,2025-02-10,515,164,109
Widget-01,LA-East,2025-02-11,486,164,109
Widget-01,LA-East,2025-02-12,515,164,109
Widget-01,LA-East,2025-02-13,489,164,109
Widget-01,LA-East,2025-02-14,502,164,109
Widget-01,LA-East,2025-02-15,498,164,109
Widget-01,LA-East,2025-02-16,499,164,109
Widget-01,LA-East,2025-02-17,489,164,109
Widget-01,LA-East,2025-02-18,466,164,109
Widget-01,LA-East,2025-02-19,473,164,109
Widget-01,LA-East,2025-02-20,450,164,109
Widget-01,LA-East,2025-02-21,469,164,109
Widget-01,LA-East,2025-02-22,441,164,109
Widget-01,LA-East,2025-02-23,464,164,109
Widget-01,LA-East,2025-02-24,477,164,109
Widget-01,LA-East,2025-02-25,504,164,109
Widget-01,LA-East,2025-02-26,476,164,109
Widget-01,LA-East,2025-02-27,467,164,109
Widget-01,LA-East,2025-02-28,442,164,109
Widget-01,LA-East,2025-03-01,413,164,109
Widget-01,LA-East,2025-03-02,405,164,109
Widget-01,LA-East,2025-03-03,418,164,109
Widget-01,LA-East,2025-03-04,389,164,109
Widget-01,LA-East,2025-03-05,396,164,109
Widget-01,LA-East,2025-03-06,382,164,109
Widget-01,LA-East,2025-03-07,386,164,109
Widget-01,LA-East,2025-03-08,389,164,109
Widget-01,LA-East,2025-03-09,381,164,109
Widget-01,LA-East,2025-03-10,380,164,109
Widget-01,LA-East,2025-03-11,401,164,109
Widget-01,LA-East,2025-03-12,378,164,109
Widget-01,LA-East,2025-03-13,369,164,109
Widget-01,LA-East,2025-03-14,382,164,109
Widget-01,LA-East,2025-03-15,409,164,109
Widget-01,LA-East,2025-03-16,414,164,109
Widget-01,LA-East,2025-03-17,388,164,109
Widget-01,LA-East,2025-03-18,370,164,109
Widget-01,LA-East,2025-03-19,368,164,109
Widget-01,LA-East,2025-03-20,368,164,109
Widget-01,LA-East,2025-03-21,384,164,109
Widget-01,LA-East,2025-03-22,410,164,109
Widget-01,LA-East,2025-03-23,434,164,109
Widget-01,LA-East,2025-03-24,419,164,109
Widget-01,LA-East,2025-03-25,430,164,109
Widget-01,LA-East,2025-03-26,429,164,109
Widget-01,LA-East,2025-03-27,455,164,109
Widget-01,LA-East,2025-03-28,479,164,109
Widget-01,LA-East,2025-03-29,464,164,109
Widget-01,LA-East,2025-03-30,445,164,109
Widget-01,LA-East,2025-03-31,431,164,109
Widget-01,Chicago,2025-01-01,495,164,109
Widget-01,Chicago,2025-01-02,472,164,109
Widget-01,Chicago,2025-01-03,461,164,109
Widget-01,Chicago,2025-01-04,433,164,109
Widget-01,Chicago,2025-01-05,418,164,109
Widget-01,Chicago,2025-01-06,417,164,109
Widget-01,Chicago,2025-01-07,431,164,109
Widget-01,Chicago,2025-01-08,423,164,109
Widget-01,Chicago,2025-01-09,420,164,109
Widget-01,Chicago,2025-01-10,440,164,109
Widget-01,Chicago,2025-01-11,449,164,109
Widget-01,Chicago,2025-01-12,472,164,109
Widget-01,Chicago,2025-01-13,446,164,109
Widget-01,Chicago,2025-01-14,435,164,109
Widget-01,Chicago,2025-01-15,444,164,109
Widget-01,Chicago,2025-01-16,469,164,109
Widget-01,Chicago,2025-01-17,482,164,109
Widget-01,Chicago,2025-01-18,452,164,109
Widget-01,Chicago,2025-01-19,478,164,109
Widget-01,Chicago,2025-01-20,477,164,109
